y,ds
75.87385474089587,2023-09-19
70.48917207835338,2023-09-20
66.85622781963424,2023-09-21
77.14168934150489,2023-09-22
79.76510278115313,2023-09-23
68.79109404732242,2023-09-24
75.13864593200277,2023-09-25
79.93029839396849,2023-09-26
74.96075754797258,2023-09-27
75.14750190759729,2023-09-28
77.33085083124476,2023-09-29
82.89547934395273,2023-09-30
74.55690798382467,2023-10-01
75.63353060180879,2023-10-02
80.34713675732473,2023-10-03
81.03209149913643,2023-10-04
72.07286700967312,2023-10-05
81.05593096436871,2023-10-06
74.61990486072753,2023-10-07
80.62606282127052,2023-10-08
73.10768847755376,2023-10-09
76.37798646223172,2023-10-10
71.87167556184959,2023-10-11
75.10185060235969,2023-10-12
72.0780098955347,2023-10-13
80.66772837395979,2023-10-14
76.41012071024865,2023-10-15
82.22239043267697,2023-10-16
82.98938161914198,2023-10-17
76.07291691783368,2023-10-18
85.15459251747836,2023-10-19
83.61637362770581,2023-10-20
80.88779273131225,2023-10-21
71.537362139805,2023-10-22
75.1140672685108,2023-10-23
81.55279594383722,2023-10-24
86.97469877121685,2023-10-25
75.79783653814944,2023-10-26
75.46266712541045,2023-10-27
82.98541613532808,2023-10-28
74.52615439732554,2023-10-29
72.8339064344348,2023-10-30
72.18161802472682,2023-10-31
74.26763848122499,2023-11-01
83.82784790571218,2023-11-02
84.63199225696644,2023-11-03
74.80831383019445,2023-11-04
81.48386102405748,2023-11-05
77.58198107474439,2023-11-06
84.31232721433662,2023-11-07
79.62460329569713,2023-11-08
77.41053957733101,2023-11-09
75.99206004301828,2023-11-10
73.5104412496462,2023-11-11
80.06870502418761,2023-11-12
80.73419760299272,2023-11-13
82.01128163159821,2023-11-14
72.63889460413957,2023-11-15
74.6717863114732,2023-11-16
87.17052878604602,2023-11-17
77.09356946563089,2023-11-18
81.49821179770461,2023-11-19
79.62839474507004,2023-11-20
82.31869521795606,2023-11-21
83.06786937524119,2023-11-22
75.79427823137993,2023-11-23
78.35867849116386,2023-11-24
85.83447920686164,2023-11-25
80.59942210213131,2023-11-26
80.0055238862236,2023-11-27
79.9476951511316,2023-11-28
83.01237142120503,2023-11-29
75.26530744079295,2023-11-30
82.52348000773246,2023-12-01
77.32208769841793,2023-12-02
80.39946228511819,2023-12-03
78.74397779819725,2023-12-04
75.27838151836887,2023-12-05
83.72821970389306,2023-12-06
80.72711415750241,2023-12-07
86.32611617138699,2023-12-08
78.89393466071414,2023-12-09
